No,対象業務,要求内容（現場の期待）,入力（Input）,処理（Process）,出力（Output）,主担当部署,AI活用タイプ,技術的難易度,主技術,補助技術,備考 / 補足
72,提案資料のロジック検証,提案内容に論理の飛躍や一貫性の欠如がないか確認してほしい,提案資料（PowerPoint/Word）,LLMで論理構造解析 → 飛躍・矛盾箇所検出 → 改善提案,ロジックチェックレポート（Word、問題箇所+修正案）,マーケティング部,知的支援,1,生成AI（LLM）,なし,論理的整合性の最終判断は人間。補助的確認に有効
73,アジェンダ設定支援,営業MTGの目的とゴールから、当日の会議アジェンダを作りたい,会議目的・ゴール、参加者情報,LLMでアジェンダ構成生成（目的確認→論点→決定事項→次アクション） → 時間配分提案,会議アジェンダ（Word、時間配分付き）,マーケティング部,知的支援,1,生成AI（LLM）,なし,時間配分は実際の会議で調整必要
74,売上予測,既存案件の進捗状況をもとに、今月・来月・翌月の売上予測のたたきを作成したい,【重要】Salesforce案件データ（金額・確度・クローズ予定日）,Salesforce API経由でパイプラインデータ取得 → 【技術選定重要】確度加重平均で売上予測算出（基本は統計的手法） → 過去実績との乖離分析 → LLMで予測コメント生成,売上予測レポート（Excel、月別予測グラフ+コメント）,マーケティング部,データ活用,2,Salesforce API、統計分析,LLM（コメント生成用）、Python/Excel,【MLモデル不要】確度×金額の加重計算が基本。過去データが十分あればトレンド分析追加可能だが、初期は単純な統計処理で十分。複雑なML予測は案件数・データ品質次第で難易度3に
75,顧客分類,既存顧客を「継続見込み高い／離脱リスク高い」のようにスコアリングしたい,【重要】Salesforce顧客データ（利用頻度・問い合わせ履歴・契約更新履歴）,【技術選定重要】データ取得 → 特徴量エンジニアリング（利用頻度・サポート頻度・契約期間） → ルールベーススコアリングまたは機械学習分類モデル構築 → スコア算出,顧客スコアリング結果（Excel、顧客別スコア+分類）,マーケティング部,データ活用,2-3,統計分析、または機械学習,Salesforce API、Python,【段階的実装推奨】初期はルールベース（難易度2）で開始。データ蓄積後にML分類モデル（ランダムフォレスト等）導入で精度向上（難易度3）。MLは教師データ作成が課題
76,タスクの抜け漏れ防止,Salesforceや議事録をもとに、フォローすべきタスクのヌケモレを教えてほしい,Salesforceタスクデータ、議事録,複数ソースからタスク抽出 → 期限・担当者で突合 → 未起票タスク検出 → アラート送信,タスク抜け漏れアラート（Slack/メール、リスト付き）,マーケティング部,オペレーション効率化,2,Salesforce API、生成AI（LLM）,Slack API,定期実行で継続的監視推奨
77,目標に対する現在地の可視化,週次・月次の営業目標に対して「いま足りてる／足りてない」を可視化したい,目標値、実績値（Salesforce等）,データ取得 → 目標達成率計算 → 進捗グラフ生成 → 不足分アラート,進捗ダッシュボード（Excel/Tableau、目標線付きグラフ）,マーケティング部,データ活用,2,Salesforce API、BIツール,Python（グラフ生成）,リアルタイムダッシュボード化でさらに有効
78,営業管理,商談後のSalesforce入力の抜けを教えてほしい,Salesforce案件データ、入力必須項目定義,Salesforce API経由でデータ取得 → 必須項目チェック → 欠損データリスト化 → 担当者に通知,入力抜けアラート（Slack/メール、担当者別リスト）,マーケティング部,オペレーション効率化,2,Salesforce API,Slack API、スケジューラ,定期実行で入力品質維持。入力ルール明確化が前提
79,会議資料,定例会で使う報告資料を、Salesforceなどの数値から毎回自動ドラフトしたい,Salesforceデータ、KPI数値,データ取得 → 定例会テンプレートに自動埋め込み → LLMでコメント生成 → スライド生成,定例会資料（PowerPoint、数値+グラフ+コメント）,マーケティング部,オペレーション効率化,2,Salesforce API、生成AI（LLM）,PowerPoint API、スケジューラ,定期実行で毎回の準備工数削減。テンプレート事前定義必要
80,〆切管理,提案書提出／見積提示／契約更新などの〆切を一覧化し、抜けそうなものを警告してほしい,Salesforce案件データ、カレンダー,データ取得 → 〆切一覧化 → 期限接近タスク抽出（3日前など） → アラート送信,〆切アラート（Slack/メール、タスク一覧付き）,マーケティング部,オペレーション効率化,2,Salesforce API,カレンダーAPI、Slack API、スケジューラ,日次実行で抜け漏れ防止。通知タイミング設定重要
81,Salesforce入力補助,商談メモ・議事録・メール内容から、Salesforceに転記すべき内容を下書きしてほしい,商談メモ・議事録・メール本文,LLMでSalesforce項目抽出（企業名・商談内容・次アクション等） → 各フィールド形式に整形,Salesforce入力用データ（構造化JSON/CSV）,マーケティング部,オペレーション効率化,2,生成AI（LLM）、Salesforce API,なし,抽出精度は元データの構造化度に依存。最終入力前に人間確認推奨
